Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
0,BRVHF,146.700000,-,0.600000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
1,BRUHF,440.175000,+,5.000000,Tone,100.0,100.0,023,NN,FM,5.00,,,,,,
2,SMPLX1,146.520000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
3,SMPLX2,147.540000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
4,SMPLX3,446.000000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
5,MURS 1,151.820000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
6,MURS 2,151.880000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
7,MURS 3,151.940000,,0.000000,,88.5,88.5,023,NN,NFM,5.00,,,,,,
8,MURS 4,154.570000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
9,MURS 5,154.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
10,FRS1,462.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
11,FRS2,462.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
12,FRS3,462.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
13,FRS4,462.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
14,FRS5,462.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
15,FRS6,462.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
16,FRS7,462.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
17,FRS8,467.562500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
18,FRS9,467.587500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
19,FRS10,467.612500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
20,FRS11,467.637500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
21,FRS12,467.662500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
22,FRS13,467.687500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
23,FRS14,467.712500,,0.000000,,88.5,88.5,023,NN,NFM,5.00,S,,,,,
24,GMRS1,462.550000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
25,GMRS2,462.575000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
26,GMRS3,462.600000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
27,GMRS4,462.625000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
28,GMRS5,462.650000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
29,GMRS6,462.675000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
30,GMRS7,462.700000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
31,GMRS8,462.725000,,0.000000,,88.5,88.5,023,NN,FM,5.00,,,,,,
32,VPKR1,147.030000,+,5.000000,Tone,123.0,123.0,023,NN,FM,5.00,,,,,,
33,VPKR2,147.180000,+,5.000000,Tone,107.2,107.2,023,NN,FM,5.00,,,,,,

